EmployeeID,Name,Age,Gender,Department,City,Salary,Experience,PerformanceScore,JoinDate,Sales,Bonus
10001,Employee_0,59.0,F,IT,Chennai,28484.0,10,4.59,2025-02-03,25885,13348
10002,Employee_1,49.0,M,Sales,Mumbai,78987.0,9,2.53,2025-01-07,83945,20928
10003,Employee_2,35.0,M,Operations,Hyderabad,43225.0,0,3.76,2024-08-28,70948,14558
10004,Employee_3,28.0,F,Sales,Delhi,105459.0,16,3.39,2026-01-14,47075,4818
10005,Employee_4,41.0,M,Marketing,Pune,146566.0,12,1.21,2024-09-13,86563,9087
10006,Employee_5,59.0,F,Sales,Hyderabad,86104.0,13,1.31,2026-05-25,75095,24466
10007,Employee_6,39.0,F,HR,Pune,45936.0,0,1.08,2025-10-18,5650,16204
10008,Employee_7,43.0,M,Sales,Pune,64612.0,1,2.48,2023-07-15,77380,4443
10009,Employee_8,31.0,F,Finance,Pune,109946.0,1,3.98,2025-09-21,18633,16648
10010,Employee_9,31.0,M,HR,Bangalore,120533.0,6,1.69,2025-08-03,38343,23093
10011,Employee_10,44.0,M,Operations,Chennai,145877.0,8,3.42,2023-02-13,97029,2047
10012,Employee_11,,M,IT,Mumbai,127269.0,3,2.16,2024-01-28,24831,11645
10013,Employee_12,60.0,M,IT,Mumbai,64952.0,1,4.19,2026-01-18,62439,13274
10014,Employee_13,44.0,M,Marketing,Delhi,83945.0,18,4.19,2023-06-04,37877,20044
10015,Employee_14,23.0,M,Marketing,Bangalore,112399.0,4,4.1,2025-09-04,48131,8930
10016,Employee_15,42.0,M,Finance,Hyderabad,30380.0,8,3.1,2023-02-28,46197,16994
10017,Employee_16,22.0,M,Operations,Hyderabad,75298.0,12,2.14,2023-04-20,62035,8058
10018,Employee_17,44.0,F,IT,,111246.0,11,4.24,2024-04-23,58121,17203
10019,Employee_18,50.0,F,IT,Chennai,105821.0,18,1.74,2024-09-09,2782,7266
10020,Employee_19,58.0,M,IT,Pune,52260.0,8,,2025-02-22,87488,11559
10021,Employee_20,22.0,F,IT,Delhi,57879.0,9,1.74,2025-12-08,96755,4408
10022,Employee_21,41.0,F,Sales,Chennai,41143.0,18,3.7,2025-11-21,43167,23685
